Order Number,Date,Group Major,Pin,Item Description,Qty,Lot,Invoice
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-033,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-034,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-035,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-036,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-037,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-038,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-039,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-040,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-041,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-042,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-043,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-044,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-045,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-046,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-047,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-048,595175
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-049,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-050,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-051,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-052,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-053,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-054,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-055,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-056,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-057,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-058,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-059,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-060,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-061,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-062,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-063,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-064,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-065,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-066,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-067,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-068,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-069,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-070,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-071,595191
885527,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-072,595191
887361,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-073,595684
887361,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-074,595684
887361,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-075,595684
887361,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-076,595684
